pat_no
9854832
9826776
9809927
9808952
9788570
9788569
9738459
9681683
9675103
9622509
9468232
9439453
9433240
9420828
9307789
9282765
9226524
9220298
9185933
9149072
9125435
9095173
9061835
9034106
9016284
8944072
8869968
8824118
8760508
8747047
8720451
8636012
8573386
8469181
8469038
8443964
8327996
8322511
8100621
8037991
7832544
7779990
7775217
7669387
7640935
7621715
7620471
7571798
7565963
7509960
7478638
7474935
7409956
7393313
7350637
7328783
7279656
7275549
7275548
7219788
7195019
7168551
7168430
7163098
7143889
7117872
7117871
7094193
7077145
7073514
7047982
7044286
7028828
7011205
6986632
6913132
6892735
6880559
6860697
6793062
6725997
6720525
6708694
6688313
6675811
6668837
6666321
6651673
6631301
6565306
6540061
6532966
6526985
6517306
6431812
6431310
6422380
6390273
6368041
6363942
6325068
6229115
6227347
6193051
6147319
6123201
6092532
6070592
6065585
6065358
6064032
6049057
6016904
5944278
5915522
5901709
5878865
5845758
5833045
5749782
5746300
5746229
5738115
5730318
5690125
5669481
5666975
5657770
5645087
5628162
5623952
5617701
5598855
5582192
5577594
5551544
5529164
5490589
5472078
5462071
5462070
5460296
5439092
5435688
5413213
5404889
5375613
5366064
5361888
5350051
5341824
5335766
5316122
5275271
5263805
5259402
5259401
5247948
5224811
5220992
5217101
5214969
5186184
5179965
5161663
5148818
5147022
5127511
5105833
5103960
5103841
5092350
5054604
5052414
5025913
5024242
5015819
5012825
4986718
4986408
4962840
4944315
4938340
4903713
4889140
4883075
4872543
4865179
4860880
4860773
4856958
4840266
4830176
4827947
4821746
4813527
4795020
4790422
4790333
4787497
4785928
4784566
4782644
4781204
4774840
4751996
4744453
4720619
4717009
4710066
4696617
4690604
4672168
4668152
4661034
4660578
4658950
4653631
4647752
4641024
4640656
4633891
4605117
4595025
4585919
4585386
4575301
4574938
4572352
4569359
4565202
4555011
4553660
4551040
4535790
4530633
4524785
4524784
4509634
4507535
4507040
4503965
4501953
4500770
4469111
4463766
4455117
4452260
4447709
4439663
4429779
4423996
4421223
4420073
4416368
4413640
4410785
4404454
4404452
4403908
4403619
4396835
4391285
4390032
4380286
4373806
4373624
4372710
4370942
4366895
4365703
4365702
4364462
4359152
4353454
4352604
4350242
4349719
4349096
4347855
4344521
4344520
4344445
4339026
4339025
4336873
4328886
4323082
4320773
4319861
4316754
4311229
4303366
4302654
4299322
4282889
4281670
4280611
4278385
4273233
4269559
4269299
4266652
4265254
4256124
4254858
4249545
4247754
4241822
